seqname,tax_id
A10,s__A10
A10a,s__A10a
A10b,s__A10b
A11,s__A11
A11a,s__A11a
A12,s__A12
A1.2/A1kv,s__A1.2/A1kv
A13,s__A13
A13a,s__A13a
A13b,s__A13b
A13c,s__A13c
A13e,s__A13e
A13f,s__A13f
A13g,s__A13g
A13i,s__A13i
A13j,s__A13j
A14,s__A14
A15,s__A15
A15a,s__A15a
A15c,s__A15c
A16a,s__A16a
A16ab,s__A16ab
A16ac,s__A16ac
A16ad,s__A16ad
A16ae,s__A16ae
A16af,s__A16af
A16ag,s__A16ag
A16ah,s__A16ah
A16ai,s__A16ai
A16aj,s__A16aj
A16ak,s__A16ak
A16al,s__A16al
A16am,s__A16am
A16an,s__A16an
A16ao,s__A16ao
A16ap,s__A16ap
A16aq,s__A16aq
A16ar,s__A16ar
A16au,s__A16au
A16av,s__A16av
A16aw,s__A16aw
A16ax,s__A16ax
A16az,s__A16az
A16ba,s__A16ba
A16bb,s__A16bb
A16bc,s__A16bc
A16bd,s__A16bd
A16c,s__A16c
A16d,s__A16d
A16e,s__A16e
A16f,s__A16f
A16g,s__A16g
A16h,s__A16h
A16i,s__A16i
A16j,s__A16j
A16k,s__A16k
A16l,s__A16l
A16m,s__A16m
A16n,s__A16n
A16o,s__A16o
A16p,s__A16p
A16q,s__A16q
A16s,s__A16s
A16t,s__A16t
A16u,s__A16u
A16v,s__A16v
A16w,s__A16w
A16y,s__A16y
A16z,s__A16z
A1a,s__A1a
A1aa,s__A1aa
A1ad,s__A1ad
A1ae,s__A1ae
A1af,s__A1af
A1ag,s__A1ag
A1aj,s__A1aj
A1ak,s__A1ak
A1al,s__A1al
A1an,s__A1an
A1ao,s__A1ao
A1ap,s__A1ap
A1aq,s__A1aq
A1ar,s__A1ar
A1as,s__A1as
A1at,s__A1at
A1au,s__A1au
A1av,s__A1av
A1ax,s__A1ax
A1az,s__A1az
A1b,s__A1b
A1bb,s__A1bb
A1bc,s__A1bc
A1bd,s__A1bd
A1be,s__A1be
A1bf,s__A1bf
A1bg,s__A1bg
A1bi,s__A1bi
A1bj,s__A1bj
A1bk,s__A1bk
A1bl,s__A1bl
A1bm,s__A1bm
A1bn,s__A1bn
A1bo,s__A1bo
A1bp,s__A1bp
A1bq,s__A1bq
A1br,s__A1br
A1bs,s__A1bs
A1bt,s__A1bt
A1bu,s__A1bu
A1bv,s__A1bv
A1bw,s__A1bw
A1bx,s__A1bx
A1by,s__A1by
