tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2
Root,Root,root,Root,Root,,,
f__A,Root,rank_0,f__A,Root,f__A,,
g__A10,f__A,rank_1,g__A10,Root,f__A,g__A10,
s__A10,g__A10,rank_2,s__A10,Root,f__A,g__A10,s__A10
s__A10a,g__A10,rank_2,s__A10a,Root,f__A,g__A10,s__A10a
s__A10b,g__A10,rank_2,s__A10b,Root,f__A,g__A10,s__A10b
g__A11,f__A,rank_1,g__A11,Root,f__A,g__A11,
s__A11,g__A11,rank_2,s__A11,Root,f__A,g__A11,s__A11
s__A11a,g__A11,rank_2,s__A11a,Root,f__A,g__A11,s__A11a
g__A12,f__A,rank_1,g__A12,Root,f__A,g__A12,
s__A12,g__A12,rank_2,s__A12,Root,f__A,g__A12,s__A12
g__A1,f__A,rank_1,g__A1,Root,f__A,g__A1,
s__A1.2/A1kv,g__A1,rank_2,s__A1.2/A1kv,Root,f__A,g__A1,s__A1.2/A1kv
g__A13,f__A,rank_1,g__A13,Root,f__A,g__A13,
s__A13,g__A13,rank_2,s__A13,Root,f__A,g__A13,s__A13
s__A13a,g__A13,rank_2,s__A13a,Root,f__A,g__A13,s__A13a
s__A13b,g__A13,rank_2,s__A13b,Root,f__A,g__A13,s__A13b
s__A13c,g__A13,rank_2,s__A13c,Root,f__A,g__A13,s__A13c
s__A13e,g__A13,rank_2,s__A13e,Root,f__A,g__A13,s__A13e
s__A13f,g__A13,rank_2,s__A13f,Root,f__A,g__A13,s__A13f
s__A13g,g__A13,rank_2,s__A13g,Root,f__A,g__A13,s__A13g
s__A13i,g__A13,rank_2,s__A13i,Root,f__A,g__A13,s__A13i
s__A13j,g__A13,rank_2,s__A13j,Root,f__A,g__A13,s__A13j
g__A14,f__A,rank_1,g__A14,Root,f__A,g__A14,
s__A14,g__A14,rank_2,s__A14,Root,f__A,g__A14,s__A14
g__A15,f__A,rank_1,g__A15,Root,f__A,g__A15,
s__A15,g__A15,rank_2,s__A15,Root,f__A,g__A15,s__A15
s__A15a,g__A15,rank_2,s__A15a,Root,f__A,g__A15,s__A15a
s__A15c,g__A15,rank_2,s__A15c,Root,f__A,g__A15,s__A15c
g__A16,f__A,rank_1,g__A16,Root,f__A,g__A16,
s__A16a,g__A16,rank_2,s__A16a,Root,f__A,g__A16,s__A16a
s__A16ab,g__A16,rank_2,s__A16ab,Root,f__A,g__A16,s__A16ab
s__A16ac,g__A16,rank_2,s__A16ac,Root,f__A,g__A16,s__A16ac
s__A16ad,g__A16,rank_2,s__A16ad,Root,f__A,g__A16,s__A16ad
s__A16ae,g__A16,rank_2,s__A16ae,Root,f__A,g__A16,s__A16ae
s__A16af,g__A16,rank_2,s__A16af,Root,f__A,g__A16,s__A16af
s__A16ag,g__A16,rank_2,s__A16ag,Root,f__A,g__A16,s__A16ag
s__A16ah,g__A16,rank_2,s__A16ah,Root,f__A,g__A16,s__A16ah
s__A16ai,g__A16,rank_2,s__A16ai,Root,f__A,g__A16,s__A16ai
s__A16aj,g__A16,rank_2,s__A16aj,Root,f__A,g__A16,s__A16aj
s__A16ak,g__A16,rank_2,s__A16ak,Root,f__A,g__A16,s__A16ak
s__A16al,g__A16,rank_2,s__A16al,Root,f__A,g__A16,s__A16al
s__A16am,g__A16,rank_2,s__A16am,Root,f__A,g__A16,s__A16am
s__A16an,g__A16,rank_2,s__A16an,Root,f__A,g__A16,s__A16an
s__A16ao,g__A16,rank_2,s__A16ao,Root,f__A,g__A16,s__A16ao
s__A16ap,g__A16,rank_2,s__A16ap,Root,f__A,g__A16,s__A16ap
s__A16aq,g__A16,rank_2,s__A16aq,Root,f__A,g__A16,s__A16aq
s__A16ar,g__A16,rank_2,s__A16ar,Root,f__A,g__A16,s__A16ar
s__A16au,g__A16,rank_2,s__A16au,Root,f__A,g__A16,s__A16au
s__A16av,g__A16,rank_2,s__A16av,Root,f__A,g__A16,s__A16av
s__A16aw,g__A16,rank_2,s__A16aw,Root,f__A,g__A16,s__A16aw
s__A16ax,g__A16,rank_2,s__A16ax,Root,f__A,g__A16,s__A16ax
s__A16az,g__A16,rank_2,s__A16az,Root,f__A,g__A16,s__A16az
s__A16ba,g__A16,rank_2,s__A16ba,Root,f__A,g__A16,s__A16ba
s__A16bb,g__A16,rank_2,s__A16bb,Root,f__A,g__A16,s__A16bb
s__A16bc,g__A16,rank_2,s__A16bc,Root,f__A,g__A16,s__A16bc
s__A16bd,g__A16,rank_2,s__A16bd,Root,f__A,g__A16,s__A16bd
s__A16c,g__A16,rank_2,s__A16c,Root,f__A,g__A16,s__A16c
s__A16d,g__A16,rank_2,s__A16d,Root,f__A,g__A16,s__A16d
s__A16e,g__A16,rank_2,s__A16e,Root,f__A,g__A16,s__A16e
s__A16f,g__A16,rank_2,s__A16f,Root,f__A,g__A16,s__A16f
s__A16g,g__A16,rank_2,s__A16g,Root,f__A,g__A16,s__A16g
s__A16h,g__A16,rank_2,s__A16h,Root,f__A,g__A16,s__A16h
s__A16i,g__A16,rank_2,s__A16i,Root,f__A,g__A16,s__A16i
s__A16j,g__A16,rank_2,s__A16j,Root,f__A,g__A16,s__A16j
s__A16k,g__A16,rank_2,s__A16k,Root,f__A,g__A16,s__A16k
s__A16l,g__A16,rank_2,s__A16l,Root,f__A,g__A16,s__A16l
s__A16m,g__A16,rank_2,s__A16m,Root,f__A,g__A16,s__A16m
s__A16n,g__A16,rank_2,s__A16n,Root,f__A,g__A16,s__A16n
s__A16o,g__A16,rank_2,s__A16o,Root,f__A,g__A16,s__A16o
s__A16p,g__A16,rank_2,s__A16p,Root,f__A,g__A16,s__A16p
s__A16q,g__A16,rank_2,s__A16q,Root,f__A,g__A16,s__A16q
s__A16s,g__A16,rank_2,s__A16s,Root,f__A,g__A16,s__A16s
s__A16t,g__A16,rank_2,s__A16t,Root,f__A,g__A16,s__A16t
s__A16u,g__A16,rank_2,s__A16u,Root,f__A,g__A16,s__A16u
s__A16v,g__A16,rank_2,s__A16v,Root,f__A,g__A16,s__A16v
s__A16w,g__A16,rank_2,s__A16w,Root,f__A,g__A16,s__A16w
s__A16y,g__A16,rank_2,s__A16y,Root,f__A,g__A16,s__A16y
s__A16z,g__A16,rank_2,s__A16z,Root,f__A,g__A16,s__A16z
s__A1a,g__A1,rank_2,s__A1a,Root,f__A,g__A1,s__A1a
s__A1aa,g__A1,rank_2,s__A1aa,Root,f__A,g__A1,s__A1aa
s__A1ad,g__A1,rank_2,s__A1ad,Root,f__A,g__A1,s__A1ad
s__A1ae,g__A1,rank_2,s__A1ae,Root,f__A,g__A1,s__A1ae
s__A1af,g__A1,rank_2,s__A1af,Root,f__A,g__A1,s__A1af
s__A1ag,g__A1,rank_2,s__A1ag,Root,f__A,g__A1,s__A1ag
s__A1aj,g__A1,rank_2,s__A1aj,Root,f__A,g__A1,s__A1aj
s__A1ak,g__A1,rank_2,s__A1ak,Root,f__A,g__A1,s__A1ak
s__A1al,g__A1,rank_2,s__A1al,Root,f__A,g__A1,s__A1al
s__A1an,g__A1,rank_2,s__A1an,Root,f__A,g__A1,s__A1an
s__A1ao,g__A1,rank_2,s__A1ao,Root,f__A,g__A1,s__A1ao
s__A1ap,g__A1,rank_2,s__A1ap,Root,f__A,g__A1,s__A1ap
s__A1aq,g__A1,rank_2,s__A1aq,Root,f__A,g__A1,s__A1aq
s__A1ar,g__A1,rank_2,s__A1ar,Root,f__A,g__A1,s__A1ar
s__A1as,g__A1,rank_2,s__A1as,Root,f__A,g__A1,s__A1as
s__A1at,g__A1,rank_2,s__A1at,Root,f__A,g__A1,s__A1at
s__A1au,g__A1,rank_2,s__A1au,Root,f__A,g__A1,s__A1au
s__A1av,g__A1,rank_2,s__A1av,Root,f__A,g__A1,s__A1av
s__A1ax,g__A1,rank_2,s__A1ax,Root,f__A,g__A1,s__A1ax
s__A1az,g__A1,rank_2,s__A1az,Root,f__A,g__A1,s__A1az
s__A1b,g__A1,rank_2,s__A1b,Root,f__A,g__A1,s__A1b
s__A1bb,g__A1,rank_2,s__A1bb,Root,f__A,g__A1,s__A1bb
s__A1bc,g__A1,rank_2,s__A1bc,Root,f__A,g__A1,s__A1bc
s__A1bd,g__A1,rank_2,s__A1bd,Root,f__A,g__A1,s__A1bd
s__A1be,g__A1,rank_2,s__A1be,Root,f__A,g__A1,s__A1be
s__A1bf,g__A1,rank_2,s__A1bf,Root,f__A,g__A1,s__A1bf
s__A1bg,g__A1,rank_2,s__A1bg,Root,f__A,g__A1,s__A1bg
s__A1bi,g__A1,rank_2,s__A1bi,Root,f__A,g__A1,s__A1bi
s__A1bj,g__A1,rank_2,s__A1bj,Root,f__A,g__A1,s__A1bj
s__A1bk,g__A1,rank_2,s__A1bk,Root,f__A,g__A1,s__A1bk
s__A1bl,g__A1,rank_2,s__A1bl,Root,f__A,g__A1,s__A1bl
s__A1bm,g__A1,rank_2,s__A1bm,Root,f__A,g__A1,s__A1bm
s__A1bn,g__A1,rank_2,s__A1bn,Root,f__A,g__A1,s__A1bn
s__A1bo,g__A1,rank_2,s__A1bo,Root,f__A,g__A1,s__A1bo
s__A1bp,g__A1,rank_2,s__A1bp,Root,f__A,g__A1,s__A1bp
s__A1bq,g__A1,rank_2,s__A1bq,Root,f__A,g__A1,s__A1bq
s__A1br,g__A1,rank_2,s__A1br,Root,f__A,g__A1,s__A1br
s__A1bs,g__A1,rank_2,s__A1bs,Root,f__A,g__A1,s__A1bs
