seqname,tax_id
C1,g__C1
C42m,g__C42m
C42l,g__C42l
C42k,g__C42k
C1j,g__C1j
C42j,g__C42j
C42i,g__C42i
C1b,g__C1b
C3f,g__C3f
C3h,g__C3h
C1au,g__C1au
C115k,g__C115k
C3bj,g__C3bj
C3j,g__C3j
C3,g__C3
C50f,g__C50f
C3k,g__C3k
C21,g__C21
C3g,g__C3g
C3ba,g__C3ba
C42b,g__C42b
C42a,g__C42a
C3cg,g__C3cg
C1k,g__C1k
C1r,g__C1r
C1bq,g__C1bq
C45c,g__C45c
C3ch,g__C3ch
C3p,g__C3p
C42h,g__C42h
C42x,g__C42x
C1c,g__C1c
C1h,g__C1h
C15n,g__C15n
C15ai,g__C15ai
C15bm,g__C15bm
C15l,g__C15l
C15ae,g__C15ae
C15cn,g__C15cn
C116i,g__C116i
C1cb,g__C1cb
C72k,g__C72k
C1al,g__C1al
D2,g__D2
C3au,g__C3au
C41,g__C41
C29,g__C29
C39,g__C39
C3ck,g__C3ck
C1x,g__C1x
C93a,g__C93a
C3bl,g__C3bl
C3.2,g__C3.2
C1af,g__C1af
D4,g__D4
C3cj,g__C3cj
C3i,g__C3i
C15av,g__C15av
C1bt,g__C1bt
C1bz,g__C1bz
C72i,g__C72i
A1,g__A1
D4k,g__D4k
A1bv,g__A1bv
A1p,g__A1p
D6c,g__D6c
D1d,g__D1d
D1r,g__D1r
D2a,g__D2a
D6d,g__D6d
A1x,g__A1x
C3bk,g__C3bk
C3bu,g__C3bu
A1bw,g__A1bw
A1bx,g__A1bx
A1g,g__A1g
A1b,g__A1b
C1f,g__C1f
C1a,g__C1a
C41e,g__C41e
C15r,g__C15r
C1ai,g__C1ai
C1am,g__C1am
C1an,g__C1an
C1ao,g__C1ao
C39a,g__C39a
C15u,g__C15u
C15v,g__C15v
C15x,g__C15x
C3cl,g__C3cl
C3cm,g__C3cm
A1ej,g__A1ej
C15ah,g__C15ah
C93.1,g__C93.1
C3u,g__C3u
C3an,g__C3an
C41c,g__C41c
C41d,g__C41d
C41g,g__C41g
C1bv,g__C1bv
C41o,g__C41o
A1bk,g__A1bk
A1ak,g__A1ak
A1ah,g__A1ah
A1f,g__A1f
A1ap,g__A1ap
C91f,g__C91f
C91i,g__C91i
C91h,g__C91h
C22b,g__C22b
A1eq,g__A1eq
C91e,g__C91e
C15w,g__C15w
C15ap,g__C15ap
D4d,g__D4d
D4c,g__D4c
D5,g__D5
D4i,g__D4i
D4j,g__D4j
D17,g__D17
D1o,g__D1o
D1v,g__D1v
D17c,g__D17c
D3,g__D3
C15i,g__C15i
C15s,g__C15s
A1cl,g__A1cl
A1bh,g__A1bh
A1du,g__A1du
C41a,g__C41a
A1cm,g__A1cm
A1cn,g__A1cn
C15au,g__C15au
C2b,g__C2b
A1bg,g__A1bg
C3ab,g__C3ab
C15as,g__C15as
C15k,g__C15k
A1ef,g__A1ef
D17e,g__D17e
D5d,g__D5d
D17l,g__D17l
D1ao,g__D1ao
A1cj,g__A1cj
D1al,g__D1al
A1ag,g__A1ag
A1ca,g__A1ca
C15ch,g__C15ch
C15dc,g__C15dc
A1co,g__A1co
D3e,g__D3e
D1b,g__D1b
A1bc,g__A1bc
A1au,g__A1au
A1as,g__A1as
A1al,g__A1al
A1an,g__A1an
A1cp,g__A1cp
A1ck,g__A1ck
C72a,g__C72a
A1s,g__A1s
C60a,g__C60a
A1at,g__A1at
A1aq,g__A1aq
A1am,g__A1am
A1ae,g__A1ae
A1c,g__A1c
A1ar,g__A1ar
A1u,g__A1u
A1bb,g__A1bb
A1bj,g__A1bj
A1bi,g__A1bi
C15ak,g__C15ak
A1l,g__A1l
A1cr,g__A1cr
C116d,g__C116d
C163b,g__C163b
A1aj,g__A1aj
A1ct,g__A1ct
C39d,g__C39d
A1cd,g__A1cd
A1cx,g__A1cx
A1be,g__A1be
C15p,g__C15p
C72b,g__C72b
D1i,g__D1i
C116r,g__C116r
C116s,g__C116s
C15at,g__C15at
C15ao,g__C15ao
A1eg,g__A1eg
C3dx,g__C3dx
D1x,g__D1x
A1dq,g__A1dq
D1g,g__D1g
C3bq,g__C3bq
C115,g__C115
C3z,g__C3z
C50b,g__C50b
C3bp,g__C3bp
C3bd,g__C3bd
C3bo,g__C3bo
C15cf,g__C15cf
D4g,g__D4g
G3d,g__G3d
D5b,g__D5b
D5f,g__D5f
D17a,g__D17a
C3m,g__C3m
C3l,g__C3l
C3r,g__C3r
C3ao,g__C3ao
C3d,g__C3d
C3ai,g__C3ai
C115b,g__C115b
C3ak,g__C3ak
C3aj,g__C3aj
A13c,g__A13c
D5e,g__D5e
C3ar,g__C3ar
C3bn,g__C3bn
C27a,g__C27a
D9a,g__D9a
A4m,g__A4m
B1h,g__B1h
B1p,g__B1p
B1a,g__B1a
B1g,g__B1g
A4q,g__A4q
A13a,g__A13a
A13b,g__A13b
A7l,g__A7l
A5d,g__A5d
A3a,g__A3a
A7b,g__A7b
A7a,g__A7a
A16f,g__A16f
A16d,g__A16d
A7d,g__A7d
A7m,g__A7m
A7f,g__A7f
A7j,g__A7j
A7h,g__A7h
C91c,g__C91c
C91g,g__C91g
C91d,g__C91d
A3e,g__A3e
G3l,g__G3l
A16p,g__A16p
A16s,g__A16s
A16q,g__A16q
C50k,g__C50k
C21j,g__C21j
C21i,g__C21i
C21h,g__C21h
C3bh,g__C3bh
A4g,g__A4g
A4j,g__A4j
A4o,g__A4o
C42e,g__C42e
B5u,g__B5u
B5m,g__B5m
B5g,g__B5g
B5v,g__B5v
B5w,g__B5w
B5e,g__B5e
B5b,g__B5b
B5c,g__B5c
B5h,g__B5h
B5j,g__B5j
B5d,g__B5d
C3cb,g__C3cb
B5f,g__B5f
B5n,g__B5n
C10,g__C10
B5ab,g__B5ab
A4c,g__A4c
C87b,g__C87b
C120d,g__C120d
C42c,g__C42c
C42d,g__C42d
C120c,g__C120c
A4f,g__A4f
C1ak,g__C1ak
C3cu,g__C3cu
C1bd,g__C1bd
C1ad,g__C1ad
D1f,g__D1f
C116b,g__C116b
C1ac,g__C1ac
C123b,g__C123b
C123a,g__C123a
A4a,g__A4a
C16a,g__C16a
A16c,g__A16c
C21k,g__C21k
C10b,g__C10b
C21w,g__C21w
C21ag,g__C21ag
C3bf,g__C3bf
C3ds,g__C3ds
C1bx,g__C1bx
C75e,g__C75e
C75d,g__C75d
C3bi,g__C3bi
B1s,g__B1s
C3ae,g__C3ae
C3.10,g__C3.10
