tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5
Root,Root,root,Root,Root,,,,,,
k__Dinophyceae,Root,rank_0,k__Dinophyceae,Root,k__Dinophyceae,,,,,
p__Suessiales,k__Dinophyceae,rank_1,p__Suessiales,Root,k__Dinophyceae,p__Suessiales,,,,
c__Symbiodiniaceae,p__Suessiales,rank_2,c__Symbiodiniaceae,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,,,
o__Cladocopium,c__Symbiodiniaceae,rank_3,o__Cladocopium,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,,
f__C1,o__Cladocopium,rank_4,f__C1,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,
g__C1,f__C1,rank_5,g__C1,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1
f__C42,o__Cladocopium,rank_4,f__C42,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,
g__C42m,f__C42,rank_5,g__C42m,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42m
g__C42l,f__C42,rank_5,g__C42l,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42l
g__C42k,f__C42,rank_5,g__C42k,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42k
g__C1j,f__C1,rank_5,g__C1j,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1j
g__C42j,f__C42,rank_5,g__C42j,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42j
g__C42i,f__C42,rank_5,g__C42i,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42i
g__C1b,f__C1,rank_5,g__C1b,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1b
f__C3,o__Cladocopium,rank_4,f__C3,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,
g__C3f,f__C3,rank_5,g__C3f,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3f
g__C3h,f__C3,rank_5,g__C3h,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3h
g__C1au,f__C1,rank_5,g__C1au,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1au
f__C115,o__Cladocopium,rank_4,f__C115,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C115,
g__C115k,f__C115,rank_5,g__C115k,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C115,g__C115k
g__C3bj,f__C3,rank_5,g__C3bj,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3bj
g__C3j,f__C3,rank_5,g__C3j,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3j
g__C3,f__C3,rank_5,g__C3,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3
f__C50,o__Cladocopium,rank_4,f__C50,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C50,
g__C50f,f__C50,rank_5,g__C50f,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C50,g__C50f
g__C3k,f__C3,rank_5,g__C3k,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3k
f__C21,o__Cladocopium,rank_4,f__C21,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C21,
g__C21,f__C21,rank_5,g__C21,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C21,g__C21
g__C3g,f__C3,rank_5,g__C3g,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3g
g__C3ba,f__C3,rank_5,g__C3ba,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3ba
g__C42b,f__C42,rank_5,g__C42b,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42b
g__C42a,f__C42,rank_5,g__C42a,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42a
g__C3cg,f__C3,rank_5,g__C3cg,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3cg
g__C1k,f__C1,rank_5,g__C1k,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1k
g__C1r,f__C1,rank_5,g__C1r,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1r
g__C1bq,f__C1,rank_5,g__C1bq,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1bq
f__C45,o__Cladocopium,rank_4,f__C45,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C45,
g__C45c,f__C45,rank_5,g__C45c,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C45,g__C45c
g__C3ch,f__C3,rank_5,g__C3ch,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3ch
g__C3p,f__C3,rank_5,g__C3p,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3p
g__C42h,f__C42,rank_5,g__C42h,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42h
g__C42x,f__C42,rank_5,g__C42x,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C42,g__C42x
g__C1c,f__C1,rank_5,g__C1c,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1c
g__C1h,f__C1,rank_5,g__C1h,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1h
f__C15,o__Cladocopium,rank_4,f__C15,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C15,
g__C15n,f__C15,rank_5,g__C15n,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C15,g__C15n
g__C15ai,f__C15,rank_5,g__C15ai,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C15,g__C15ai
g__C15bm,f__C15,rank_5,g__C15bm,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C15,g__C15bm
g__C15l,f__C15,rank_5,g__C15l,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C15,g__C15l
g__C15ae,f__C15,rank_5,g__C15ae,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C15,g__C15ae
g__C15cn,f__C15,rank_5,g__C15cn,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C15,g__C15cn
f__C116,o__Cladocopium,rank_4,f__C116,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C116,
g__C116i,f__C116,rank_5,g__C116i,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C116,g__C116i
g__C1cb,f__C1,rank_5,g__C1cb,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1cb
f__C72,o__Cladocopium,rank_4,f__C72,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C72,
g__C72k,f__C72,rank_5,g__C72k,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C72,g__C72k
g__C1al,f__C1,rank_5,g__C1al,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1al
o__Durusdinium,c__Symbiodiniaceae,rank_3,o__Durusdinium,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Durusdinium,,
f__D2,o__Durusdinium,rank_4,f__D2,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Durusdinium,f__D2,
g__D2,f__D2,rank_5,g__D2,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Durusdinium,f__D2,g__D2
g__C3au,f__C3,rank_5,g__C3au,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3au
f__C41,o__Cladocopium,rank_4,f__C41,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C41,
g__C41,f__C41,rank_5,g__C41,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C41,g__C41
f__C29,o__Cladocopium,rank_4,f__C29,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C29,
g__C29,f__C29,rank_5,g__C29,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C29,g__C29
f__C39,o__Cladocopium,rank_4,f__C39,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C39,
g__C39,f__C39,rank_5,g__C39,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C39,g__C39
g__C3ck,f__C3,rank_5,g__C3ck,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3ck
g__C1x,f__C1,rank_5,g__C1x,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1x
f__C93,o__Cladocopium,rank_4,f__C93,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C93,
g__C93a,f__C93,rank_5,g__C93a,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C93,g__C93a
g__C3bl,f__C3,rank_5,g__C3bl,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3bl
g__C3.2,f__C3,rank_5,g__C3.2,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C3,g__C3.2
g__C1af,f__C1,rank_5,g__C1af,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Cladocopium,f__C1,g__C1af
f__D4,o__Durusdinium,rank_4,f__D4,Root,k__Dinophyceae,p__Suessiales,c__Symbiodiniaceae,o__Durusdinium,f__D4,
